Text,Author
1 Conycatching,Greene
2 Conycatching,Greene
3 Conycatching,Greene
Alcida,Greene
Anatomy of Absurdity,Nashe
Arbasto,Greene
Black Book's Messenger,Greene
Brief Answer,Munday
Christ's Tears,Nashe
Ciceronis Amor,Greene
Courtly Controversy,Munday
Disputation,Greene
English Roman Life,Munday
Euphues Anatomy,Lyly
Euphues His England,Lyly
Farewell to Folly,Greene
Have With You,Nashe
Lenten Stuff,Nashe
Menaphon,Greene
Mourning Garment,Greene
Never Too Late,Greene
Orpharion,Greene
Pandosto,Greene
Penelope's Web,Greene
Perimedes,Greene
Philomela,Greene
Pierce Penniless,Nashe
Planetomachia,Greene
Preface to Menaphon,Nashe
Quip for an Upstart Courtier,Greene
Strange News,Nashe
Terrors of the Night,Nashe
Unfortunate Traveller,Nashe
Vision,Greene
Watchword,Munday
Zelauto,Munday
Two Dangerous Comets,Uncertain
Wonderful Prognostication,Uncertain
