,quoth,beauty,wife,thoughts,death,honour,gentleman,son,sir,art[verb],passions,gods,together,favour,loves,fancy,age,still,heaven,money,else,means,saw,virtue,husband,folly,even,sight,book,seek,year,hands,pride,soon,word,mistress,although,high,sooner,gave,hold,in[adverb],tears,present,affection,sun,want,city,dead,daughter,revenge,earth,kind,keep,purse,within,looks,shalt,hearing,others,devil,light,pass,chamber,told,bring,lay,saith,common,fathers,makes,water,right,care,gold,sorrow,soul,able,back,read,blood,kings,less,ready,sin,wise,hard,ill,next,cast,ears,vain,deep,pray,bed,stand,talk,above,get,pleasant,rich,thinking,times,wealth,thousand,knew,virtues,call,coming,discourse,play,strange,conscience,bad,lady,comes,cut,pleasure,yea,given,hell,work,shepherd,taking,base,ere,follies,fortunes,sea,open,wanton,duke,countenance,prove,side,wine,courtesy,letter,self,certain,horse,wilt,counsel,delight,enough,truth,will[noun],borne,small,taken,course,enemy,seen,red,secret,worthy,mouth,past,four,mother,short,sword,ah,credit,few,manner,stood,children,further,honourable,sought,whatsoever,favours,same,fond,nay,please,england,grief,straight,prince,fame,whereupon,black,bear,drink,FALSE,glory,proud,wind,wits,hundred,fellow,greene,like[adjective],sundry,virtuous,draw,humour,used,conceit,divers,abroad,doctor,hate,grace,greatest,meat,oft,perfection,turn,almost,fit,tongue,beautiful,melancholy,passion,carry,english,fly,kept,people,purpose,whereas,disdain,force,learned,lust,number
1 Conycatching,0.23195647,0,0.053528413,0.008921403,0.008921403,0,0.18734945,0,0.27656347,0.026764207,0,0,0.062449817,0.053528413,0.008921403,0,0.008921403,0.03568561,0,0.28548488,0.07137122,0.044607013,0.044607013,0,0.026764207,0.008921403,0.017842805,0.026764207,0.03568561,0,0.008921403,0.008921403,0,0.08921403,0.03568561,0.017842805,0.053528413,0.07137122,0.008921403,0.03568561,0.03568561,0.19627085,0.017842805,0.017842805,0.008921403,0,0.017842805,0.026764207,0.008921403,0,0.017842805,0,0.062449817,0.026764207,0.14274244,0.008921403,0.008921403,0.017842805,0.017842805,0.026764207,0.026764207,0.03568561,0.026764207,0.03568561,0.026764207,0.053528413,0.03568561,0.47283432,0.053528413,0,0.053528413,0.008921403,0.017842805,0.017842805,0.017842805,0.008921403,0.008921403,0.03568561,0.053528413,0.017842805,0.008921403,0,0.008921403,0.044607013,0.026764207,0.008921403,0.026764207,0.017842805,0.044607013,0.017842805,0.026764207,0,0.044607013,0.11597823,0.053528413,0.026764207,0.017842805,0.017842805,0.044607013,0.008921403,0.008921403,0.026764207,0.026764207,0.017842805,0.008921403,0.03568561,0,0.044607013,0.053528413,0,0.14274244,0.008921403,0.026764207,0.044607013,0,0.21411365,0.16950664,0.008921403,0.03568561,0.017842805,0.017842805,0,0,0.044607013,0.08029262,0.044607013,0,0,0,0.026764207,0,0,0.008921403,0.026764207,0.053528413,0.16950664,0.017842805,0.017842805,0,0.053528413,0,0.017842805,0,0,0.026764207,0.008921403,0.008921403,0,0.03568561,0.044607013,0.008921403,0,0.017842805,0,0.008921403,0.008921403,0.008921403,0,0.08921403,0,0.017842805,0.053528413,0.017842805,0.062449817,0.008921403,0.03568561,0.026764207,0.008921403,0.008921403,0.044607013,0.008921403,0.026764207,0,0.026764207,0.008921403,0.062449817,0,0.053528413,0,0.10705683,0.008921403,0,0.044607013,0.017842805,0.026764207,0.07137122,0.07137122,0,0,0.008921403,0.026764207,0,0.044607013,0,0.017842805,0.026764207,0,0.08029262,0.008921403,0.026764207,0,0.008921403,0.017842805,0.008921403,0,0,0.008921403,0,0.026764207,0,0.044607013,0.026764207,0.008921403,0.026764207,0,0,0.008921403,0.026764207,0.026764207,0,0.008921403,0.017842805,0.03568561,0.008921403,0,0.017842805,0.044607013,0.07137122,0
2 Conycatching,0.20727775,0.007676954,0,0.007676954,0.015353908,0.007676954,0.20727775,0,0.12283126,0.03838477,0,0,0.03838477,0.023030862,0.007676954,0,0,0.07676954,0.023030862,0.16121604,0.0998004,0.06909259,0.08444649,0.015353908,0,0.030707816,0.03838477,0,0.046061724,0.03838477,0.015353908,0.023030862,0,0.030707816,0.06141563,0.015353908,0.053738676,0.023030862,0.015353908,0.030707816,0.030707816,0.15353908,0,0.007676954,0,0.007676954,0.030707816,0.06141563,0.030707816,0,0.03838477,0,0.053738676,0.046061724,0.34546292,0.053738676,0.015353908,0.007676954,0.023030862,0.046061724,0.030707816,0.023030862,0.053738676,0.06909259,0.053738676,0.007676954,0.09212345,0.015353908,0.053738676,0,0.053738676,0.007676954,0.015353908,0.023030862,0,0,0.007676954,0,0.03838477,0.023030862,0.007676954,0.015353908,0.007676954,0.023030862,0,0.015353908,0.053738676,0,0.07676954,0.030707816,0.030707816,0.030707816,0,0.046061724,0.03838477,0.053738676,0.007676954,0,0.023030862,0.06141563,0,0.023030862,0.053738676,0.007676954,0,0.030707816,0,0.0998004,0.046061724,0.015353908,0.13818517,0.023030862,0.015353908,0.03838477,0,0.07676954,0.09212345,0.007676954,0.015353908,0.03838477,0.007676954,0.06909259,0,0.030707816,0.16121604,0.023030862,0.007676954,0,0,0.09212345,0,0,0.023030862,0,0.03838477,0.06909259,0.015353908,0.06141563,0,0.06141563,0.32243207,0.015353908,0.03838477,0.007676954,0.007676954,0,0.015353908,0,0.023030862,0.053738676,0.03838477,0,0.03838477,0,0.015353908,0.023030862,0.007676954,0.030707816,0.046061724,0,0.023030862,0.015353908,0,0.007676954,0.023030862,0.030707816,0.03838477,0.015353908,0.015353908,0.03838477,0.007676954,0.03838477,0,0.023030862,0.007676954,0.030707816,0.023030862,0.030707816,0,0.08444649,0,0,0.030707816,0.14586212,0.015353908,0.03838477,0,0,0.015353908,0.015353908,0.030707816,0,0.06909259,0,0.030707816,0.046061724,0.007676954,0.053738676,0,0.023030862,0.007676954,0.06909259,0.053738676,0,0.007676954,0.007676954,0.007676954,0.023030862,0,0,0.030707816,0.023030862,0.03838477,0.007676954,0,0,0,0.046061724,0.015353908,0.007676954,0.03838477,0.08444649,0.046061724,0.015353908,0.015353908,0,0.015353908,0,0
3 Conycatching,0.21323939,0,0.11125533,0.018542556,0,0,0.42647877,0.027813833,0.11125533,0,0,0.009271278,0.13906917,0,0,0,0.009271278,0.092712775,0,0.101984054,0.092712775,0.046356387,0.064898945,0,0.018542556,0.009271278,0.037085112,0.037085112,0.027813833,0,0.009271278,0.027813833,0.009271278,0.018542556,0.046356387,0.12052661,0,0,0.037085112,0.083441496,0,0.055627666,0,0.046356387,0,0,0,0.074170224,0.009271278,0,0,0,0.101984054,0.027813833,0.2874096,0.055627666,0.009271278,0,0.027813833,0.064898945,0,0.018542556,0.009271278,0.092712775,0.046356387,0.046356387,0.046356387,0,0.046356387,0,0.037085112,0.009271278,0.027813833,0,0.046356387,0.009271278,0.018542556,0,0.046356387,0.027813833,0,0.009271278,0.027813833,0.064898945,0,0.018542556,0.037085112,0.027813833,0.101984054,0,0,0.027813833,0.018542556,0.037085112,0.083441496,0.027813833,0.092712775,0.037085112,0.037085112,0,0.009271278,0.101984054,0.064898945,0,0,0.092712775,0,0.018542556,0.083441496,0.046356387,0.037085112,0.018542556,0,0.027813833,0.046356387,0.027813833,0.027813833,0,0.018542556,0.027813833,0,0.055627666,0,0.064898945,0.046356387,0.037085112,0,0,0.009271278,0.055627666,0,0,0.064898945,0,0.046356387,0.11125533,0.055627666,0,0.018542556,0.037085112,0,0.009271278,0.037085112,0,0.027813833,0.037085112,0.009271278,0.009271278,0.018542556,0.046356387,0.027813833,0,0.046356387,0,0.027813833,0.046356387,0,0.018542556,0.046356387,0.027813833,0.018542556,0,0,0.027813833,0.009271278,0.064898945,0.064898945,0.027813833,0.027813833,0,0.009271278,0,0,0.074170224,0,0.009271278,0.018542556,0,0.074170224,0,0,0.009271278,0.009271278,0.009271278,0.027813833,0.009271278,0.027813833,0,0.018542556,0,0.018542556,0.009271278,0.15761171,0,0.064898945,0.037085112,0,0.009271278,0.018542556,0.092712775,0,0.12052661,0.055627666,0,0,0,0.009271278,0,0.009271278,0,0.018542556,0,0.055627666,0,0,0,0,0.046356387,0.018542556,0,0.055627666,0.037085112,0.101984054,0,0.009271278,0.009271278,0.009271278,0,0.027813833
Anatomy of Absurdity,0.007053678,0.035268392,0.0987515,0.021161035,0.04937575,0.014107357,0.014107357,0.028214714,0.028214714,0.021161035,0.007053678,0,0.007053678,0.014107357,0.028214714,0.007053678,0.063483104,0.014107357,0.028214714,0.021161035,0.035268392,0.028214714,0.014107357,0.077590466,0.028214714,0.09169782,0.14107357,0.056429427,0.035268392,0.070536785,0.007053678,0.014107357,0.070536785,0.028214714,0.007053678,0.021161035,0.021161035,0.014107357,0.04232207,0.021161035,0.014107357,0.04232207,0.014107357,0.014107357,0.028214714,0.014107357,0.035268392,0.007053678,0.021161035,0.007053678,0,0.035268392,0.14812724,0.04937575,0,0.014107357,0,0.014107357,0.014107357,0.056429427,0.007053678,0.021161035,0.04937575,0,0.014107357,0.028214714,0.035268392,0.077590466,0.14107357,0.014107357,0.063483104,0.077590466,0.014107357,0.014107357,0.035268392,0.028214714,0.035268392,0.021161035,0,0.063483104,0.007053678,0.021161035,0.04937575,0.028214714,0.028214714,0.056429427,0.007053678,0.014107357,0.007053678,0.028214714,0.021161035,0.007053678,0.035268392,0.028214714,0,0.028214714,0.021161035,0.014107357,0.014107357,0.007053678,0.021161035,0.007053678,0.08464414,0.021161035,0.007053678,0.028214714,0.014107357,0.014107357,0.007053678,0.021161035,0.007053678,0.007053678,0.007053678,0.014107357,0.007053678,0.028214714,0.007053678,0.056429427,0.04937575,0.007053678,0.014107357,0.014107357,0.014107357,0,0.007053678,0.007053678,0.028214714,0,0.028214714,0.028214714,0.021161035,0,0,0.04937575,0.021161035,0.0987515,0.007053678,0.007053678,0.028214714,0.014107357,0.007053678,0.007053678,0.035268392,0.056429427,0.021161035,0.063483104,0.007053678,0.014107357,0.021161035,0.028214714,0.014107357,0.056429427,0.035268392,0,0.014107357,0.028214714,0.021161035,0.021161035,0.014107357,0.021161035,0.014107357,0.007053678,0,0.028214714,0.028214714,0.028214714,0.007053678,0.021161035,0.028214714,0,0.021161035,0.028214714,0,0.04937575,0,0.035268392,0,0.007053678,0,0.014107357,0.007053678,0.007053678,0.007053678,0,0.007053678,0.014107357,0.014107357,0.014107357,0.04232207,0.007053678,0.063483104,0.007053678,0,0.021161035,0.063483104,0.04937575,0.021161035,0.014107357,0.014107357,0.014107357,0.007053678,0.070536785,0.014107357,0,0,0,0.021161035,0.077590466,0.014107357,0.007053678,0.021161035,0.035268392,0.014107357,0.035268392,0,0.014107357,0,0.021161035,0.021161035,0,0.014107357,0.007053678,0.021161035,0.021161035,0,0.007053678,0.112858854,0.070536785,0.014107357
Arbasto,0.18645121,0.24860162,0.006215041,0.06836545,0.22374146,0.07458048,0.012430081,0,0.06836545,0.14916097,0.23617153,0.16159105,0,0.049720325,0.024860162,0.16780609,0.024860162,0.04350528,0.006215041,0,0.024860162,0.055935364,0.06836545,0.08701056,0.006215041,0.08079553,0.012430081,0.08079553,0.012430081,0.07458048,0,0.031075202,0.006215041,0.01864512,0.024860162,0.03729024,0.031075202,0.006215041,0.08701056,0.024860162,0.012430081,0.006215041,0.03729024,0.031075202,0.14294593,0.01864512,0.04350528,0.06836545,0.01864512,0.031075202,0.062150404,0.024860162,0.01864512,0.012430081,0,0.031075202,0.06836545,0.08701056,0.055935364,0.049720325,0.006215041,0,0.08701056,0.03729024,0.006215041,0.024860162,0.031075202,0.006215041,0.012430081,0.08079553,0.01864512,0.04350528,0.01864512,0.13051584,0.03729024,0.08079553,0.006215041,0.06836545,0,0.024860162,0.01864512,0,0.07458048,0.03729024,0,0.049720325,0.06836545,0.049720325,0,0.049720325,0.01864512,0.006215041,0.024860162,0.024860162,0.01864512,0.01864512,0.055935364,0.006215041,0.031075202,0.031075202,0.006215041,0.055935364,0.03729024,0.012430081,0.031075202,0.024860162,0.04350528,0.04350528,0.04350528,0.006215041,0.024860162,0.062150404,0.024860162,0.01864512,0.012430081,0.012430081,0.031075202,0.049720325,0.14916097,0.01864512,0,0.04350528,0,0.024860162,0,0.01864512,0.006215041,0.006215041,0.012430081,0.04350528,0.006215041,0.006215041,0.04350528,0.01864512,0.006215041,0.006215041,0.118085764,0.04350528,0.006215041,0.012430081,0.01864512,0.105655685,0.024860162,0.031075202,0,0.08079553,0.14916097,0.012430081,0.062150404,0.049720325,0.031075202,0.055935364,0.03729024,0.006215041,0.06836545,0.031075202,0.012430081,0.01864512,0,0.006215041,0.03729024,0.012430081,0.062150404,0.012430081,0.04350528,0.024860162,0.024860162,0,0.006215041,0.006215041,0.093225606,0.024860162,0.006215041,0.012430081,0.12430081,0.055935364,0.04350528,0,0.08701056,0.024860162,0.024860162,0.012430081,0.012430081,0,0.01864512,0,0.04350528,0,0.006215041,0.04350528,0,0,0,0.012430081,0.012430081,0.01864512,0.031075202,0.024860162,0,0.012430081,0,0.012430081,0,0,0.21752642,0.006215041,0.06836545,0,0.031075202,0.055935364,0.012430081,0.012430081,0.03729024,0.012430081,0.01864512,0.01864512,0.01864512,0.01864512,0,0,0.012430081,0.01864512,0.01864512,0.006215041,0.03729024,0.08701056,0.006215041,0.006215041,0
Black Book's Messenger,0.07912645,0,0.1582529,0,0.20572875,0.031650577,0.1582529,0.015825288,0.047475867,0,0,0.031650577,0.07912645,0.031650577,0,0,0,0.07912645,0,0.2532046,0.015825288,0.047475867,0.047475867,0,0.047475867,0,0.015825288,0.031650577,0.047475867,0.015825288,0.031650577,0.031650577,0,0.094951734,0.015825288,0.031650577,0.031650577,0.031650577,0.031650577,0.031650577,0.047475867,0.094951734,0,0,0,0.015825288,0,0.015825288,0.031650577,0,0.015825288,0.015825288,0.047475867,0.06330115,0.23737933,0.015825288,0.015825288,0,0.031650577,0,0.015825288,0.031650577,0,0.07912645,0.015825288,0.031650577,0.031650577,0.047475867,0.015825288,0,0.11077702,0.015825288,0.031650577,0.047475867,0.047475867,0.015825288,0.015825288,0.047475867,0.015825288,0,0.015825288,0,0.015825288,0.031650577,0.031650577,0.015825288,0.015825288,0.015825288,0.047475867,0.015825288,0,0.047475867,0,0.031650577,0.031650577,0.047475867,0.094951734,0,0.07912645,0,0.031650577,0.031650577,0.015825288,0,0.015825288,0.07912645,0,0.031650577,0.094951734,0.047475867,0.031650577,0,0.047475867,0.1266023,0,0.06330115,0.06330115,0.031650577,0.031650577,0.047475867,0,0,0,0.047475867,0.06330115,0.031650577,0.015825288,0,0,0,0.015825288,0,0.015825288,0,0.031650577,0.031650577,0.015825288,0.015825288,0.015825288,0.015825288,0.1424276,0,0.031650577,0.015825288,0.015825288,0.015825288,0,0,0.031650577,0.06330115,0.11077702,0.015825288,0.015825288,0,0,0.015825288,0.031650577,0,0.047475867,0,0.015825288,0.015825288,0,0.06330115,0.015825288,0.015825288,0.047475867,0.015825288,0,0.031650577,0.031650577,0.015825288,0,0.06330115,0,0.015825288,0,0.1266023,0,0.094951734,0.015825288,0,0.015825288,0.047475867,0,0.015825288,0.015825288,0,0,0.015825288,0.047475867,0.031650577,0.015825288,0,0.015825288,0.031650577,0.047475867,0.047475867,0,0.031650577,0,0.015825288,0.015825288,0,0,0.031650577,0,0,0.015825288,0,0.031650577,0.06330115,0,0.015825288,0,0,0.015825288,0,0,0.015825288,0.047475867,0,0,0.015825288,0.015825288,0.015825288,0,0,0.031650577
Christ's Tears,0,0.010011613,0.014016259,0.00800929,0.106123105,0.036041807,0.01601858,0.12013936,0.006006968,0.054062713,0,0.10011613,0.12414401,0.010011613,0.014016259,0.002002323,0.03003484,0.038044132,0.14616956,0.040046453,0.038044132,0.028032517,0.006006968,0.026030196,0.004004645,0.002002323,0.06607665,0.034039486,0.026030196,0.02202555,0.026030196,0.08609988,0.102118455,0.02202555,0.04605342,0,0.004004645,0.02202555,0.010011613,0.020023227,0.028032517,0.024027873,0.05206039,0.028032517,0.002002323,0.050058067,0.03003484,0.07008129,0.054062713,0.010011613,0.014016259,0.11813704,0.034039486,0.04605342,0.01601858,0.034039486,0.01601858,0.08409756,0.01601858,0.036041807,0.12013936,0.04204878,0.00800929,0.002002323,0.014016259,0.03003484,0.038044132,0.08009291,0.01601858,0.048055746,0.038044132,0.03203716,0.028032517,0.04204878,0.03203716,0.014016259,0.09010452,0.028032517,0.040046453,0.006006968,0.102118455,0.024027873,0.026030196,0.012013936,0.14817189,0.020023227,0.020023227,0.05206039,0.02202555,0.06607665,0.038044132,0.034039486,0.014016259,0.026030196,0.014016259,0.040046453,0.014016259,0.038044132,0.03203716,0.004004645,0.05206039,0.014016259,0.038044132,0.028032517,0.09010452,0.014016259,0.002002323,0.038044132,0.018020904,0.006006968,0.018020904,0.010011613,0.038044132,0.006006968,0.00800929,0.020023227,0.026030196,0.010011613,0.020023227,0.0440511,0.078090586,0.036041807,0.006006968,0.010011613,0.010011613,0.050058067,0,0.002002323,0.048055746,0.028032517,0.006006968,0,0.004004645,0.006006968,0.024027873,0.010011613,0.00800929,0.002002323,0.00800929,0.018020904,0.00800929,0.02202555,0.010011613,0.01601858,0.02202555,0.01601858,0.028032517,0.02202555,0.00800929,0.024027873,0.02202555,0.036041807,0.03203716,0.004004645,0.006006968,0.010011613,0.0440511,0.012013936,0.018020904,0.018020904,0.018020904,0.05206039,0.006006968,0.020023227,0.038044132,0.010011613,0.004004645,0.09210684,0.010011613,0.002002323,0.028032517,0.020023227,0.006006968,0.014016259,0.002002323,0.01601858,0.012013936,0.020023227,0.004004645,0,0.014016259,0.00800929,0,0.026030196,0.024027873,0.020023227,0.010011613,0.062072005,0.018020904,0.020023227,0.018020904,0.076088265,0.004004645,0.00800929,0.020023227,0.006006968,0.002002323,0.024027873,0.010011613,0.012013936,0.010011613,0.012013936,0.006006968,0,0.03003484,0.010011613,0.026030196,0.0440511,0.010011613,0.004004645,0.026030196,0.03003484,0.010011613,0.014016259,0.004004645,0.010011613,0.012013936,0.012013936,0.004004645,0.03003484,0.018020904,0.0440511,0.006006968,0.024027873,0.03003484,0.004004645,0.00800929,0.010011613,0.04204878
Ciceronis Amor,0.17470598,0.2173172,0.025566729,0.37923983,0.042611215,0.14487813,0.05539458,0.038350094,0.025566729,0.0596557,0.18322822,0.046872336,0.017044486,0.14913926,0.28975627,0.15340038,0.021305608,0.042611215,0.025566729,0,0.012783364,0.034088973,0.02982785,0.008522243,0.017044486,0.008522243,0.012783364,0.102266915,0,0.063916825,0,0.004261122,0.025566729,0.034088973,0.025566729,0.07243907,0.07243907,0.034088973,0.042611215,0.0596557,0.025566729,0.012783364,0.042611215,0.02982785,0.07243907,0.02982785,0.017044486,0.051133458,0,0.08096131,0.017044486,0.004261122,0.008522243,0.008522243,0,0.034088973,0.08948355,0.021305608,0.07670019,0.025566729,0,0.038350094,0.021305608,0.012783364,0.021305608,0.034088973,0.017044486,0,0.021305608,0.063916825,0.034088973,0.017044486,0.021305608,0.008522243,0.02982785,0.025566729,0.004261122,0.021305608,0.012783364,0.02982785,0.02982785,0,0.042611215,0.034088973,0.004261122,0.021305608,0.042611215,0.017044486,0.012783364,0.004261122,0.068177946,0.038350094,0.08522243,0.021305608,0.038350094,0.008522243,0.034088973,0.021305608,0.012783364,0.05539458,0.034088973,0.034088973,0.008522243,0.05539458,0.004261122,0.02982785,0.08948355,0.025566729,0.025566729,0.068177946,0.021305608,0.012783364,0.008522243,0.012783364,0.068177946,0.004261122,0.012783364,0.025566729,0.008522243,0.012783364,0.008522243,0.012783364,0.034088973,0.038350094,0.02982785,0.025566729,0.017044486,0.13209477,0,0.012783364,0.021305608,0,0.008522243,0.038350094,0.021305608,0.008522243,0.017044486,0.08096131,0.063916825,0.017044486,0.012783364,0.025566729,0.017044486,0.025566729,0.004261122,0.004261122,0.004261122,0.017044486,0.02982785,0.017044486,0.008522243,0.021305608,0.034088973,0.02982785,0.012783364,0.046872336,0.017044486,0.051133458,0,0.034088973,0.004261122,0.042611215,0.038350094,0.004261122,0.008522243,0.025566729,0.034088973,0.008522243,0.008522243,0.11078916,0.046872336,0.017044486,0.14913926,0.008522243,0.021305608,0.008522243,0.042611215,0,0.017044486,0.012783364,0,0.02982785,0.02982785,0.008522243,0.017044486,0,0.008522243,0.021305608,0.008522243,0.004261122,0.017044486,0,0,0.017044486,0,0.021305608,0.02982785,0.004261122,0.012783364,0.017044486,0.0596557,0.012783364,0.021305608,0,0.021305608,0.051133458,0.02982785,0.004261122,0.017044486,0.063916825,0,0.004261122,0.025566729,0.012783364,0.08096131,0.02982785,0.07243907,0.012783364,0.004261122,0.025566729,0.034088973,0.02982785,0.012783364,0.008522243,0.038350094,0.05539458,0.017044486,0,0.008522243
Disputation,0.14077897,0.058657907,0.21116847,0.035194743,0.052792117,0.087986864,0.21703425,0.005865791,0.08212107,0.035194743,0.005865791,0.011731582,0.058657907,0.0645237,0.052792117,0.017597372,0.046926327,0.041060533,0,0.093852654,0.023463164,0.052792117,0.041060533,0.011731582,0.17597373,0.052792117,0.029328953,0.029328953,0.023463164,0.023463164,0.029328953,0.058657907,0.011731582,0.052792117,0.035194743,0.0645237,0.117315814,0.017597372,0,0.07038949,0.0645237,0.035194743,0.0645237,0.017597372,0.035194743,0.017597372,0.029328953,0.011731582,0.005865791,0.058657907,0.023463164,0.005865791,0.08212107,0.052792117,0.123181604,0.023463164,0.041060533,0.005865791,0.017597372,0.052792117,0.029328953,0.105584234,0.029328953,0.07625528,0.0645237,0.07038949,0.058657907,0.011731582,0.046926327,0.017597372,0.023463164,0.011731582,0.005865791,0.017597372,0.023463164,0.035194743,0.035194743,0.017597372,0.011731582,0.011731582,0.011731582,0.005865791,0.029328953,0.041060533,0.058657907,0.035194743,0.035194743,0.052792117,0.041060533,0.005865791,0.017597372,0.041060533,0.017597372,0.0645237,0.099718444,0.011731582,0.029328953,0.023463164,0.052792117,0.052792117,0.005865791,0.017597372,0.023463164,0.029328953,0.011731582,0.029328953,0.023463164,0.035194743,0.041060533,0.035194743,0.011731582,0.029328953,0.041060533,0.099718444,0,0.052792117,0.011731582,0.035194743,0.017597372,0.011731582,0.011731582,0.029328953,0,0.046926327,0.0645237,0.017597372,0.035194743,0.011731582,0,0.029328953,0.099718444,0.005865791,0.011731582,0.029328953,0.005865791,0.017597372,0.023463164,0,0.011731582,0.005865791,0.035194743,0.005865791,0.041060533,0.023463164,0.046926327,0.023463164,0.017597372,0.011731582,0.011731582,0.017597372,0,0.011731582,0.029328953,0,0.023463164,0.017597372,0.017597372,0.041060533,0.023463164,0.035194743,0.029328953,0.011731582,0.005865791,0.011731582,0.023463164,0,0.029328953,0.046926327,0.017597372,0.011731582,0.023463164,0.035194743,0.041060533,0.005865791,0.005865791,0.041060533,0.023463164,0.046926327,0.023463164,0.011731582,0,0,0.023463164,0.023463164,0.017597372,0.035194743,0.011731582,0.029328953,0.029328953,0.011731582,0.046926327,0,0.011731582,0.005865791,0.005865791,0.035194743,0.011731582,0.035194743,0.041060533,0.052792117,0,0.035194743,0.0645237,0,0.005865791,0.029328953,0.005865791,0.035194743,0.005865791,0.011731582,0.011731582,0.058657907,0.017597372,0.011731582,0.029328953,0.005865791,0.005865791,0.029328953,0.023463164,0.005865791,0.011731582,0.017597372,0.058657907,0.023463164,0.005865791,0.011731582,0.005865791,0.07038949,0.005865791
Farewell to Folly,0.26931033,0.09367316,0.2107646,0.09757621,0.1131884,0.11709145,0.04293353,0.07025487,0.07025487,0.101479255,0.101479255,0.11709145,0.015612193,0.074157916,0.003903048,0.031224387,0.08977011,0.058545724,0.007806097,0.003903048,0.03903048,0.03903048,0.027321339,0.074157916,0.08977011,0.2107646,0.015612193,0.06635182,0.01951524,0.03903048,0.015612193,0.04683658,0.19515242,0.02341829,0.031224387,0.031224387,0.04293353,0.01951524,0.04683658,0.04683658,0.01951524,0.003903048,0.04683658,0.04683658,0.04683658,0.04293353,0.035127435,0.06635182,0.035127435,0.054642677,0.074157916,0.011709145,0.01951524,0.015612193,0.007806097,0.062448774,0.007806097,0.027321339,0.04683658,0.02341829,0,0.007806097,0.015612193,0.011709145,0.07025487,0.03903048,0.011709145,0.031224387,0.04683658,0.031224387,0.035127435,0.027321339,0.02341829,0.050739627,0.031224387,0.03903048,0.02341829,0.03903048,0.031224387,0.03903048,0.003903048,0.19124937,0.003903048,0.015612193,0.02341829,0.04683658,0.027321339,0.027321339,0.011709145,0,0.003903048,0.054642677,0.015612193,0.027321339,0.02341829,0.015612193,0.04293353,0.007806097,0.007806097,0.027321339,0.035127435,0.03903048,0.015612193,0.06635182,0.01951524,0.027321339,0.015612193,0.02341829,0.01951524,0.06635182,0.011709145,0.011709145,0.015612193,0.027321339,0.101479255,0.007806097,0.02341829,0.09367316,0.015612193,0.03903048,0.003903048,0.01951524,0.003903048,0.04683658,0.015612193,0.007806097,0.1053823,0.031224387,0.015612193,0.011709145,0.015612193,0.058545724,0.027321339,0.02341829,0.01951524,0.04293353,0.011709145,0.015612193,0.081964016,0.015612193,0.011709145,0.007806097,0.031224387,0.07025487,0.02341829,0.035127435,0.015612193,0.011709145,0.01951524,0.035127435,0.035127435,0.035127435,0.015612193,0.011709145,0.011709145,0.035127435,0.011709145,0.02341829,0.01951524,0.027321339,0.027321339,0.031224387,0.011709145,0.031224387,0.007806097,0.054642677,0.01951524,0.027321339,0.02341829,0.058545724,0.015612193,0.04293353,0.031224387,0.050739627,0.011709145,0.03903048,0.031224387,0,0.015612193,0.007806097,0.054642677,0.08586706,0.007806097,0,0.01951524,0.02341829,0.003903048,0.062448774,0.08977011,0.011709145,0.011709145,0,0.011709145,0.01951524,0.02341829,0.06635182,0.04683658,0.02341829,0.027321339,0.031224387,0.08977011,0,0.007806097,0,0.035127435,0,0.007806097,0.007806097,0.04293353,0.015612193,0.01951524,0.011709145,0.02341829,0.01951524,0.027321339,0.015612193,0.003903048,0.011709145,0.01951524,0.003903048,0.01951524,0.015612193,0.050739627,0.007806097,0.027321339,0.035127435,0.031224387,0.07806096,0
